name_clean,rating_clean,cost_clean,area_clean,cuisines_clean,address,online_order_clean,book_table_clean
The Vintage Cafe,3.0,400,Banashankari,"Cafe, French, North Indian","146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",1,0
Woodee Pizza,3.7,500,Banashankari,"Cafe, Pizza, Fast Food, Beverages","3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",1,0
Cafe Coffee Day,3.6,900,Banashankari,"Cafe, Fast Food","SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",0,0
My Tea House,3.6,600,Banashankari,"Italian, Fast Food, Cafe, European","224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",1,0
Hide Out Cafe,3.7,300,Banashankari,Cafe,"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",0,0
CAFE NOVA,3.2,600,Banashankari,"Cafe, Bakery","101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",0,0
Coffee Tindi,3.8,200,Banashankari,"Cafe, South Indian","27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",1,0
Sea Green Cafe,3.3,500,Banashankari,"Cafe, Fast Food, Beverages","1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",0,0
Cuppa,3.3,550,Banashankari,"Cafe, Fast Food","940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",0,0
Srinathji's Cafe,3.8,550,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food","112, Bull Temple Road,next to more Basavanagudi, Bangalore",0,0
Redberrys,4.0,600,Basavanagudi,"Cafe, Italian","30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",1,0
Foodiction,2.8,500,Banashankari,"North Indian, Fast Food, Chinese, Burger","2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",1,0
Sweet Truth,3.9,500,Banashankari,"Bakery, Desserts","101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",1,0
Ovenstory Pizza,3.9,750,Banashankari,Pizza,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",1,0
Faasos,4.2,500,Banashankari,"North Indian, Biryani, Fast Food","80, BDA Complex, 2nd Stage, Banashankari, Bangalore",1,0
Behrouz Biryani,3.9,650,Banashankari,Biryani,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",1,0
Fast And Fresh,2.8,400,Banashankari,"North Indian, Chinese, Fast Food","32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",1,0
Szechuan Dragon,4.2,600,Banashankari,"Chinese, Thai, Momos","8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",1,0
Empire Restaurant,4.4,750,Jayanagar,"North Indian, Mughlai, South Indian, Chinese","4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",1,0
Maruthi Davangere Benne Dosa,4.0,150,Banashankari,South Indian,"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",1,0
Chaatimes,3.8,200,Basavanagudi,"Street Food, Fast Food","39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",1,0
Havyaka Mess,3.9,300,Banashankari,South Indian,"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",0,0
McDonald's,3.9,500,Banashankari,"Burger, Fast Food","2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",1,0
Domino's Pizza,3.9,800,Banashankari,"Pizza, Fast Food","645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",1,0
Hotboxit,3.8,400,Banashankari,"North Indian, Continental, Italian","2nd Stage, Banashankari, Bangalore",0,0
Kitchen Garden,3.6,300,Kumaraswamy Layout,"North Indian, Chinese","1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",1,0
Recipe,4.0,450,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls","1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",1,0
Beijing Bites,3.7,850,Rajarajeshwari Nagar,"Chinese, Thai","179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",1,0
Tasty Bytes,3.1,300,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls","1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",1,0
Petoo,3.7,450,Banashankari,North Indian,"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",0,0
Shree Cool Point,4.1,150,Vijay Nagar,"Fast Food, Street Food, Beverages","1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore",1,0
Corner House Ice Cream,4.3,400,Banashankari,"Ice Cream, Desserts","808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",0,0
Biryanis And More,4.0,750,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian","178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",1,0
Roving Feast,4.0,450,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos","78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",0,0
FreshMenu,3.9,450,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger","10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",1,0
Banashankari Donne Biriyani,3.8,300,Banashankari,"Biryani, Fast Food","218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",1,0
Wamama,4.2,800,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos","2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",1,1
Five Star Chicken,3.6,200,Banashankari,"Fast Food, Burger","484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",0,0
XO Belgian Waffle,3.7,400,Banashankari,"Desserts, Beverages","18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",1,0
Peppy Peppers,4.2,800,Banashankari,"Italian, North Indian, Mexican","942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",0,0
Goa 0 Km,3.6,800,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani","1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",1,1
Chinese Kitchen,3.8,150,Basavanagudi,Chinese,"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",1,0
1947,4.0,850,Banashankari,"North Indian, Chinese","296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",0,1
Cake of the Day,3.7,150,Banashankari,Bakery,"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",0,0
Kabab Magic,4.1,400,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food","31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",1,0
Namma Brahmin's Idli,3.6,100,Jayanagar,South Indian,"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",1,0
Gustoes Beer House,4.1,1200,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak","10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",0,0
Sugar Rush,3.8,300,Banashankari,"Bakery, Desserts","186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",0,0
Burger King,3.2,600,Basavanagudi,"Burger, Fast Food, Beverages","59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",1,0
The Good Bowl,3.6,500,Banashankari,"Italian, North Indian, Biryani","101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",1,0
The Biryani Cafe,4.1,300,Banashankari,"Biryani, Chinese, Kebab","476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",0,0
Spicy Tandoor,0.0,150,Banashankari,North Indian,"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",0,0
LSD Cafe,2.9,700,Banashankari,"Chinese, Continental, Italian, North Indian","100 Feet Road, 3rd Stage, Banashankari, Bangalore",0,0
Rolls On Wheels,3.6,300,Banashankari,"Fast Food, Rolls, Momos","Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",0,0
Om Sri Vinayaka Chats,0.0,500,Banashankari,"Street Food, Fast Food","39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru",0,0
Sri Guru Kottureshwara Davangere Benne Dosa,4.1,150,Basavanagudi,South Indian,"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",1,0
Devanna Dum Biriyani Centre,3.6,300,Banashankari,"Biryani, South Indian","16th Main Road, Near PESIT College, Banashankari, Bangalore",1,0
Kolbeh,3.7,500,Banashankari,Fast Food,"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",0,0
Upahar Sagar,3.8,350,Banashankari,"South Indian, Chinese, North Indian","727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",0,0
Kadalu Sea Food Restaurant,3.8,500,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab","36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",1,0
Frozen Bottle,4.2,400,Banashankari,"Beverages, Desserts, Ice Cream","2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",1,0
Parimala Sweets,3.5,200,Banashankari,"Mithai, Street Food","1142, 22nd Cross, 30th Main, Banashankari, Bangalore",0,0
Vaishali Deluxe,3.8,700,Banashankari,"North Indian, Chinese","512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",0,0
Chill Out,0.0,100,Banashankari,"South Indian, Chinese","161/C, 6th Main, 80 Feet Road, Bhuvaneshwari Nagercoil, Banashankari, Bangalore",0,0
The Big O Bakes,4.0,300,Banashankari,"Bakery, Desserts","45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",0,0
Meghana Foods,4.4,600,Jayanagar,"Biryani, North Indian, Chinese","52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",1,0
Krishna Sagar,3.5,200,Banashankari,North Indian,"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",0,0
Dessert Rose,3.5,500,Banashankari,Desserts,"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",0,0
Chickpet Donne Biryani House,3.7,250,Banashankari,Biryani,"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",0,0
Me And My Cake,0.0,500,Banashankari,"Bakery, Desserts","BDA Shopping Complex, 24th Cross Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore",0,0
Sunsadm,0.0,400,Banashankari,South Indian,"Shop 18 , 3rd cross road,Markandeya Layout, Banashankari, Bangalore",0,0
Annapooraneshwari Mess,0.0,200,Banashankari,South Indian,"625, 5th Cross Road, Hanumanthnagar, Banashankari, Bangalore",0,0
Thanco's Natural Ice Creams,3.2,300,Banashankari,Ice Cream,"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore",0,0
Nandhini Deluxe,2.6,600,Banashankari,North Indian,"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",0,0
Vi Ra's Bar and Restaurant,3.3,800,Banashankari,"South Indian, North Indian, Chinese","3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",0,0
Kaggis,3.8,250,Banashankari,"Fast Food, Bakery","50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",0,0
Ayda Persian Kitchen,3.7,950,Banashankari,"North Indian, Iranian","34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",0,0
Chatar Patar,3.7,300,Banashankari,"Fast Food, Street Food","24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",0,0
Polar Bear,3.8,400,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich","96, Opposite Jain Collage, Basavanagudi, Bangalore",1,0
Kidambi's Kitchen,3.5,300,Banashankari,South Indian,"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",0,0
Mane Thindi,3.7,200,Banashankari,South Indian,"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",0,0
Kotian Karavali Restaurant,3.5,300,Banashankari,"South Indian, Biryani","1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",0,0
Floured-Baked With Love,3.8,400,Banashankari,Bakery,"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",0,0
Cakes & Slices,3.5,300,Banashankari,"Bakery, Desserts","27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore",0,0
Spice 9,3.4,300,Banashankari,"Biryani, North Indian, Chinese, Fast Food","Number 42, 4th Block, 6th Stage Banashankari, Vrishabhvachi Nagar, Opposite RV College of Architecture, Bangalore",0,0
Coffee Shopee,0.0,250,Banashankari,Beverages,"1722, 13th Main Road 31st Cross BSK, 2nd Stage, Banashankari, Bangalore",0,0
Naveen Kabab & Biriyani Mane,3.2,300,Banashankari,Biryani,"2, 3rd Cross, Near Pesit College, Banashankari, Bangalore",0,0
Katriguppe Donne Biryani,3.2,300,Banashankari,North Indian,"8, Katriguppe Main Road, Vivekananda Nagar, 3rd Stage, Banashankari, Bangalore",0,0
Hari Super Sandwich,0.0,200,Banashankari,"Sandwich, Pizza, Beverages","594, 24 The Cross BSK, Opposte Oriental Bank, Banashankari, Bangalore",0,0
Atithi Point Ande Ka Funda,3.1,150,Banashankari,North Indian,"7/1, Behind BMS College Hostel, 80 Feet Road, 1st Stage, Srinivas Nagar Bank Colony, Banashankari, Bangalore",0,0
Just Bake,3.4,400,Banashankari,"Bakery, Desserts","3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, Bangalore",0,0
Dharwad Line Bazaar Mishra Pedha,0.0,150,Banashankari,Mithai,"Shop 25, 1st Cross, 50 Feet Main Road, Near BDA Park, Girinagar, Banashankari, Bangalore",0,0
Cake Bite,0.0,300,Banashankari,Bakery,"Near Seetha Circle, Vivekananda Park Road, Girinagar, Banashankari, Bangalore",0,0
Aarush's Food Plaza,0.0,200,Banashankari,"North Indian, Street Food","41/10, Near PESIT Collage, 8th Main Road, 1st Cross, Dwarakanagar, Banashankari, Bangalore",0,0
Wood Stove,0.0,150,Banashankari,South Indian,"3148, 2nd Cross, 4th Phase Girinagar, Near Hosagarnahalli Cross, Banashankari, Bangalore",0,0
Kulfi & More,0.0,150,Banashankari,"Ice Cream, Desserts, Juices","662, 19th Main, Kidney Foundation, Padmanabhan Nagar, Banashankari, Bangalore",0,0
Kannadigas Karavali,0.0,250,Banashankari,"Mangalorean, South Indian, North Indian","1189, 9th Main, Ashok Nagar, Bank 1st Stage, Banashankari, Bangalore",0,0
K27 - The Pub,3.1,1000,Banashankari,"Chinese, North Indian","27, 27th Cross, 2nd Stage, Banashankari, Bangalore",0,0
Bengaluru Coffee House,4.1,300,Banashankari,"South Indian, North Indian, Chinese, Street Food","4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",1,0
New Mangalore Lunch Home,3.3,200,Banashankari,"Mangalorean, South Indian, North Indian","89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, Bangalore",0,0
Coffee Bytes,3.1,100,Banashankari,"Fast Food, South Indian","10th Main, Hanumanthanagar, 50 Feet Road, Phase 1, Banashankari, Bangalore",0,0
Parjanya Chat Zone,3.3,200,Banashankari,"Street Food, Fast Food","68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, Bangalore",0,0
Kwality Wall's Swirl's Happiness Station,2.9,200,Banashankari,"Ice Cream, Desserts","590, 24th Cross, 2nd Stage, Banashankari, Bangalore",0,0
Soms Kitchen & Bakes,0.0,400,Banashankari,"South Indian, North Indian, Continental","346, 7th Cross, 8th Main Road, Padmanabham Nagar, Banashankari, Bangalore",0,0
Banashankari Nati Style,0.0,350,Banashankari,"Biryani, Chinese, South Indian, North Indian","17/1, Ramalh Garden, Kadieranahall Circle, Near Raghavendra Flour Mill, Dr Vishnuvardhan Main Road, BSK 2nd Stage, Banashankari, Bangalore",0,0
Ruchi Maayaka,3.3,100,Banashankari,South Indian,"Padmanabhanagar, Banashankari, Bangalore",0,0
Mohitesh Hut Roll,0.0,150,Banashankari,"Rolls, North Indian","29, 5th Cross, Near PES College, 100 Feet Road, Dwaraka Nager, Banashankari, Bangalore",0,0
Sri Basaveshwar Jolada Rotti Oota,0.0,150,Banashankari,South Indian,"692, 12th Cross, 7th Block Kankapura Main Road, Banashankari, Bangalore",0,0
Roll Magic Fast Food,0.0,200,Banashankari,"Biryani, Rolls, Chinese","28, 4th Cross Road, Dwaraka Nagar, Banashankari, Bengaluru",0,0
Foodlieious Multi Cuisine,0.0,100,Banashankari,North Indian,"3/16, 22 Main Road, Magenta Block, PES College, Road Bank Colony, Banashankari, Bangalore",0,0
Thanishka Nati And Karavali Style,0.0,400,Banashankari,"Biryani, Fast Food","17/1, Ramaiah Garden, Kadirenahalli Circle, Dr Vishnuvardhan Main Road, 2nd Stage, Banashankari, Bangalore",0,0
Swathi Cool Point,0.0,200,Banashankari,"Beverages, Juices","2/1, 7th Main, Dwarakangar, Banashankari, Bangalore",0,0
Kaumudis Juoice,0.0,150,Banashankari,"Beverages, Fast Food, Juices","487, Cauvery Complex, S.B.M Colony, 80 Feet Road, Banashankri, Bangalore",0,0
Amma - Manae,0.0,400,Banashankari,South Indian,"10, 4th cross, Muneshwara Block, Devinagar, Banashankari, Bangalore",0,0
Sri Sai Tiffannies,0.0,150,Banashankari,"South Indian, Chinese","559/1, Opposite Canara Bank ATM, Pipelane Road, Sri Nagar, Banashankari, Bengaluru",0,0
Hotel Andhra Speices,0.0,250,Banashankari,Andhra,"263, 3rd Main Road, Chikka Laksandra, Banashankari, Bangalore",0,0
Sri Murari Family Restaurant,0.0,250,Banashankari,Biryani,"57, 3rd cross, 80 feet Road, Banashankari, Bangalore",0,0
Aramane Donne Biriyani,0.0,150,Banashankari,"South Indian, Biryani","94, Katriguppe Main Road, Opposite Pai Showroom, Banashankari, Bangalore",0,0
Darkolates,0.0,200,Banashankari,Desserts,"66, Benaka, 2nd Cross, 2nd Main, Kathriguppe East, 3rd Stage, Banashankari, Bangalore",0,0
Swaada Healthy Kitchen,0.0,350,Banashankari,"Healthy Food, Juices, Sandwich","617, 100 Feet Ring Road Next to Devegowda Petrol Pump, Banashankari, Bangalore",0,0
Gawdaru Mane Beriyani,0.0,300,Banashankari,"South Indian, Biryani","209, 5th Cross, AG Thaneerappa Road, 1st Phase Girinagar, Ganapathi Nagar, Banashankari Stage I, Banashankari, Bengaluru",0,0
Melting Melodies,0.0,100,Banashankari,"Pizza, Fast Food","Bhuvaneshwari Nagar BSK 3RD Stage, Banashankari, Bangalore",0,0
New Indraprasta,0.0,150,Banashankari,"South Indian, Beverages","77, 50 Ft Road, Hanumathnagara, Banashankari, Bangalore",0,0
Anna Kuteera,4.0,450,Banashankari,"South Indian, North Indian, Chinese","21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",1,0
Darbar,3.0,800,Banashankari,"North Indian, Chinese","1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",0,0
Vijayalakshmi,3.9,200,Basavanagudi,South Indian,"No.37, Shree Complex, Next to Dominoes Pizza, Bull temple Road, Basavanagudi, Bangalore",1,0
Sri Udupi Food Hub,4.1,500,Jayanagar,"South Indian, North Indian, Chinese, Beverages","155, 43rd Cross Road, 8th Block, Jayanagar, Bangalore",1,1
Udupi Upahar,3.8,300,Banashankari,"South Indian, Chinese, North Indian, Juices","No.1585, 22nd Main,Banashankari 1st Stage",1,0
House Of Kebabs,3.8,650,Basavanagudi,"North Indian, Kebab, Biryani, Chinese","39/1, R.V Road, Opposite Vijaya College, Basavanagudi, Bangalore",1,0
Roll N Rock,3.8,400,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls","608, 21st Cross, Kumaraswamy Layout, Bangalore",1,0
BOX8- Desi Meals,4.1,500,Banashankari,"North Indian, Mughlai, Fast Food","100 Feet Ring Road, 2nd Phase, Banashankari, Bangalore",1,0
KFC,3.8,450,Banashankari,"Burger, Fast Food","1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore",1,0
Bitez,0.0,100,Banashankari,Fast Food,"12, Banashankari, Bangalore",0,0
Roll Over,4.1,500,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich","1A/29 , Shop 2 , 27th Cross, Jayanagar, Bangalore",1,0
Imperial Restaurant,3.7,750,Mysore Road,"North Indian, Chinese, Biryani, Beverages","153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",1,0
Lassi Shop,3.9,150,Kumaraswamy Layout,"Beverages, Juices, Ice Cream","Dayanand Sagar College Road, Kumaraswamy Layout, Bangalore",1,0
The Fortuna,3.0,250,Kumaraswamy Layout,"North Indian, Chinese","Basement, MR Complex, Near Police Station, 25th Cross, 14th Main, Kumaraswamy Layout, Bangalore",1,0
Wahab,3.7,350,Jayanagar,"North Indian, Mughlai, Chinese","28/29, 9th Main Road, 3rd Block, Jayanagar, Bangalore",1,0
Al Diwan Biryanis And More,3.3,300,Basavanagudi,Biryani,"11/2, Ground Floor, Khazi Street, Basavanagudi, Bangalore",1,0
New Gowda's Fried Chicken,3.3,300,Banashankari,Biryani,"4th Cross Road, Byatarayanapura, Srinagar, Banashankari, Bangalore",1,0
Canton,3.6,800,Jayanagar,"Chinese, Seafood, Biryani","28-29, 3rd Block, 9th Main Road, Jayanagar, Bangalore",1,0
Diabetics Dezire Sugarless Sweets and Bakes,3.3,300,Basavanagudi,"Desserts, Mithai","92/1, Gandhi Bazaar Main Road, Basavangudi. Next to Vodafone Showroom, Basavanagudi, Bangalore",1,0
The Blue Wagon - Kitchen,4.6,400,Jayanagar,"Cafe, Beverages","615/1, Ground Floor, Janardhan Mansion, 10th C Main, 32nd D Cross, 4th Block, Jayanagar, Bangalore",1,0
HOT COFFEE,4.1,150,Basavanagudi,"South Indian, Chinese","79, Vanivilas Road, Next to KFC, Basavanagudi, Bangalore",1,0
Patio 805,4.1,1200,Jayanagar,"Thai, Vietnamese, Asian, Chinese","805, Ground Floor, 35C Cross, 9th Main, 4th Block, Jayanagar, Bangalore",1,1
Lassi Corner,3.7,150,Basavanagudi,"Beverages, Ice Cream","1304, Kathriguppe Main Road, Ashok Nagar, NR Colony, Basavanagudi, Bangalore",1,0
Sagar Deluxe,3.2,300,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices","1761, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",1,0
Kanti Sweets,4.0,400,Banashankari,"Mithai, Street Food","374/B, 2nd Phase, BSK 3rd Stage, Srinivasa Nagar, Banashankari, Bangalore",1,0
Vegetalia,3.7,400,Banashankari,"Italian, Pizza","582,2nd Main, 6th Block 2nd Phase Banshankari 3rd Stage Bangalore-560085",1,0
Aramane Donne Biryani,3.5,200,Banashankari,Biryani,"3-94/1, 80 Feet Road, Near New Big Bazaar, Kathriguppe, Banashankari, Bangalore",1,0
Ande Ka Funda,3.8,250,Banashankari,"North Indian, Fast Food, Rolls","9/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore",1,0
